,tic,time_period_in_months,model,total return,idle return
458,TCS.NS,1,td3,305463.62000000005,264642.4
459,TCS.NS,3,td3,783182.95,788822.8
460,TCS.NS,6,td3,922097.95,928619.8
461,TCS.NS,12,td3,1064288.95,1071713.6
462,TCS.NS,18,td3,1153087.45,1161075.9
463,TCS.NS,24,td3,1110672.7,1118391.85
464,TECHM.NS,1,td3,115131.12999999999,84524.59999999999
465,TECHM.NS,3,td3,267885.0,280374.75
466,TECHM.NS,6,td3,330338.55000000005,345691.5
467,TECHM.NS,12,td3,380036.15,397667.5
468,TECHM.NS,18,td3,587446.85,614587.0
469,TECHM.NS,24,td3,469048.60000000003,490760.75
470,ULTRACEMCO.NS,1,td3,575993.25,452903.0
471,ULTRACEMCO.NS,3,td3,1298722.94,1198319.5
